ciudad,year,tasa_mensual_prom,tasa_ea_prom,n_meses,SMMLV,cuota_por_100m,cuota_en_smmlv
Barranquilla,2020,0.0091513872374498,0.1155166666666666,12,877803,1030940.8629291288,1.1744558436564112
Barranquilla,2021,0.0085075765882828,0.1070083333333333,12,908526,978915.6209933682,1.0774767271309442
Barranquilla,2022,0.0102358233190466,0.1301166666666666,12,1000000,1120878.3228908016,1.1208783228908017
Barranquilla,2023,0.0118653303553677,0.152075,12,1160000,1260872.487543814,1.0869590409860466
Barranquilla,2024,0.0099839049391836,0.1266583333333333,12,1300000,1099739.9176491871,0.845953782807067
Bogotá,2020,0.0091513872374498,0.1155166666666666,12,877803,1030940.8629291288,1.1744558436564112
Bogotá,2021,0.0085075765882828,0.1070083333333333,12,908526,978915.6209933682,1.0774767271309442
Bogotá,2022,0.0102358233190466,0.1301166666666666,12,1000000,1120878.3228908016,1.1208783228908017
Bogotá,2023,0.0118653303553677,0.152075,12,1160000,1260872.487543814,1.0869590409860466
Bogotá,2024,0.0099839049391836,0.1266583333333333,12,1300000,1099739.9176491871,0.845953782807067
Cali,2020,0.0091513872374498,0.1155166666666666,12,877803,1030940.8629291288,1.1744558436564112
Cali,2021,0.0085075765882828,0.1070083333333333,12,908526,978915.6209933682,1.0774767271309442
Cali,2022,0.0102358233190466,0.1301166666666666,12,1000000,1120878.3228908016,1.1208783228908017
Cali,2023,0.0118653303553677,0.152075,12,1160000,1260872.487543814,1.0869590409860466
Cali,2024,0.0099839049391836,0.1266583333333333,12,1300000,1099739.9176491871,0.845953782807067
Medellín,2020,0.0091513872374498,0.1155166666666666,12,877803,1030940.8629291288,1.1744558436564112
Medellín,2021,0.0085075765882828,0.1070083333333333,12,908526,978915.6209933682,1.0774767271309442
Medellín,2022,0.0102358233190466,0.1301166666666666,12,1000000,1120878.3228908016,1.1208783228908017
Medellín,2023,0.0118653303553677,0.152075,12,1160000,1260872.487543814,1.0869590409860466
Medellín,2024,0.0099839049391836,0.1266583333333333,12,1300000,1099739.9176491871,0.845953782807067
